"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"UTIUS64-CI","Unit Trust of India-Unit Scheme-64 (Cash Income)","EQ","Split Us 64 Into 2 Parts","10","25-Oct-2002","-","02-Nov-2002","14-Nov-2002"
"MAHSEAMLES","Maharashtra Seamless Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","18-Apr-2006","25-Apr-2006","-","-"
"ANSALAPI","Ansal Properties & Infrastructure Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","10-May-2006","17-May-2006","-","-"
"HINDDORROL","Hindustan Dorr-Oliver Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-May-2006","02-Jun-2006","-","-"
"TUBEINVEST","Tube Investments of India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","31-May-2006","07-Jun-2006","-","-"
"EPL","EPL Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","08-Jun-2006","15-Jun-2006","-","-"
"SIEMENS","Siemens Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","13-Jun-2006","20-Jun-2006","-","-"
"ASTRAZEN","AstraZeneca Pharma India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","15-Jun-2006","22-Jun-2006","-","-"
"JYOTISTRUC","Jyoti Structures Limited","EQ","Fv Split-Rs.10/-To Rs.2/-","2","28-Jul-2006","04-Aug-2006","-","-"
"CGPOWER","CG Power and Industrial Solutions Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","10-Aug-2006","18-Aug-2006","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Fv Split Rs.4/- To Re.1/-","1","24-Aug-2006","31-Aug-2006","-","-"
"GODREJIND","Godrej Industries Limited","EQ","Fv Split Rs.6/- To Re.1/","1","25-Aug-2006","01-Sep-2006","-","-"
"SUPERSPIN","Super Spinning Mills Limited","EQ","Fv Split Rs.10/- To Re.1/","1","01-Sep-2006","08-Sep-2006","-","-"
"EXIDEIND","Exide Industries Limited","EQ","Fv Split Rs.10/- To Re.1/","1","08-Sep-2006","15-Sep-2006","-","-"
"SIMPLEXINF","Simplex Infrastructures Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","13-Sep-2006","20-Sep-2006","-","-"
"BLUESTARCO","Blue Star Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","20-Sep-2006","27-Sep-2006","-","-"
"VOLTAS","Voltas Limited","EQ","Fv Split Rs.10/- To Re.1/","1","22-Sep-2006","29-Sep-2006","-","-"
"ALEMBICLTD","Alembic Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-Sep-2006","04-Oct-2006","-","-"
"GEOJITFSL","Geojit Financial Services Limited","EQ","Fv Split Rs.10/- To Re.1/","1","26-Sep-2006","04-Oct-2006","-","-"
"NAVNETEDUL","Navneet Education Limited","EQ","Split-Rs.10tors.2/Div-60%Purpose Revised","2","27-Sep-2006","05-Oct-2006","-","-"
"MUNJALSHOW","Munjal Showa Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","16-Oct-2006","23-Oct-2006","-","-"
"ELECON","Elecon Engineering Company Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","17-Oct-2006","26-Oct-2006","-","-"
"INDHOTEL","The Indian Hotels Company Limited","EQ","Fv Split Rs.10/- To Re.1/","1","27-Oct-2006","03-Nov-2006","-","-"
"TCI","Transport Corporation of India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","05-Dec-2006","12-Dec-2006","-","-"
